squad,comp,season,goals,shots,xg_statsbomb,elo,xg_location,xg_header,xg_buildup
RB Leipzig,de Bundesliga,2017/2018,57,489,54.3,1722.814697,47.72931923,50.72435449,49.96052691
Real Madrid,es La Liga,2019/2020,70,552,63.5,1837.779663,63.67263774,64.29912763,65.07691251
Real Madrid,es La Liga,2018/2019,61,579,61.4,2021.118042,64.22032084,64.48882723,63.74390971
Real Madrid,es La Liga,2017/2018,91,706,83.3,2081.552246,78.78053728,80.82060814,81.66334106
Reims,fr Ligue 1,2019/2020,25,322,28.3,1584.542725,31.02976445,29.92511475,28.57001379
Reims,fr Ligue 1,2018/2019,39,412,40.8,1578.738525,37.44743948,38.7444935,36.82717705
Rennes,fr Ligue 1,2019/2020,37,337,36.5,1617.029907,35.54138528,36.20325522,36.76061747
Rennes,fr Ligue 1,2018/2019,53,472,52.3,1639.936157,50.8897423,52.83403382,52.37826526
Rennes,fr Ligue 1,2017/2018,48,474,49.4,1599.485474,48.83681833,49.15202426,48.69099316
Roma,it Serie A,2019/2020,73,632,72.7,1747.891235,69.09130202,69.69552799,68.94966594
Roma,it Serie A,2018/2019,66,624,64.2,1845.150146,68.24522288,66.43400527,65.83320112
Roma,it Serie A,2017/2018,56,667,69.6,1837.596191,65.29378105,64.55660564,64.05660279
Saint-Etienne,fr Ligue 1,2019/2020,28,303,28.8,1656.603516,30.15473236,29.90225087,29.75892469
Saint-Etienne,fr Ligue 1,2018/2019,56,499,56,1620.590454,55.46606287,57.18233936,56.21045653
Saint-Etienne,fr Ligue 1,2017/2018,45,443,52.2,1623.234741,44.74943704,46.61380234,45.67385285
Sampdoria,it Serie A,2019/2020,48,550,51.2,1609.179565,52.0557218,51.47597499,50.43134028
Sampdoria,it Serie A,2018/2019,60,479,49.6,1599.735718,48.58036732,51.28309035,51.43402103
Sampdoria,it Serie A,2017/2018,56,474,51.2,1589.057983,49.10502843,50.59621955,50.30354367
Sassuolo,it Serie A,2019/2020,69,544,56,1565.768066,45.02354605,48.17965927,47.73626333
Sassuolo,it Serie A,2018/2019,50,507,46.4,1594.307251,46.62744347,47.65891702,46.92583369
Sassuolo,it Serie A,2017/2018,28,496,49.4,1622.668579,49.79125525,49.83744747,49.60614046
Schalke,de Bundesliga,2019/2020,35,383,35.4,1646.447754,36.7769116,35.25247424,33.74321992
Schalke,de Bundesliga,2018/2019,37,407,43.1,1736.843384,44.93668408,43.71083977,41.84052081
Schalke,de Bundesliga,2017/2018,50,397,47.8,1722.488037,45.08319016,44.76754403,44.10261726
Sevilla,es La Liga,2019/2020,53,475,47.1,1744.639893,58.41196379,56.60076567,55.5559596
Sevilla,es La Liga,2018/2019,61,516,63.5,1763.042969,59.79398469,63.45265705,63.92400038
Sevilla,es La Liga,2017/2018,48,519,56.5,1812.261719,54.16937276,54.7122328,54.52508667
Sheffield United,eng Premier League,2019/2020,36,353,41.5,1619.852417,45.23014784,46.36297445,44.87152245
Sociedad,es La Liga,2019/2020,53,418,45.2,1715.6698,47.95086588,48.24554243,47.95783246
Sociedad,es La Liga,2018/2019,44,413,46.5,1730.303833,48.10179573,47.18813244,47.36307283
Sociedad,es La Liga,2017/2018,64,518,55,1767.026001,51.87528066,50.80470983,50.29979591
Southampton,eng Premier League,2019/2020,51,497,53.9,1673.848755,55.64848592,57.89361047,56.67104931
Southampton,eng Premier League,2018/2019,44,483,45.4,1649.514282,48.82837894,50.01311188,48.3536938
Southampton,eng Premier League,2017/2018,36,444,40.1,1689.857788,47.08466432,45.41419886,43.5844275
SPAL,it Serie A,2019/2020,27,457,39.1,1550.557617,43.35523344,42.46215949,41.85357799
SPAL,it Serie A,2018/2019,44,457,41.4,1553.613892,50.04059859,46.12051156,44.76970849
SPAL,it Serie A,2017/2018,37,374,37.7,1506.19812,36.62570341,36.09346121,35.32770604
Stoke,eng Premier League,2017/2018,34,387,37.1,1660.378418,40.66876496,40.06451064,39.00966453
Strasbourg,fr Ligue 1,2019/2020,32,319,35,1555.942139,34.42832728,33.42836479,33.62624929
Strasbourg,fr Ligue 1,2018/2019,57,398,42.3,1483.19397,40.80485744,38.97588059,37.91470576
Strasbourg,fr Ligue 1,2017/2018,43,464,45.3,1477.060669,43.19934469,41.06416341,39.8644091
